user_count,education,education_id
1,Bachelor or Higher,0
2,Less Than High School,3
3,Bachelor or Higher,0
4,Bachelor or Higher,0
5,Bachelor or Higher,0
6,Bachelor or Higher,0
7,Bachelor or Higher,0
8,Some College or Associate,1
9,Bachelor or Higher,0
10,Bachelor or Higher,0
11,Bachelor or Higher,0
12,Bachelor or Higher,0
13,Some College or Associate,1
14,Bachelor or Higher,0
15,Bachelor or Higher,0
16,Some College or Associate,1
17,Bachelor or Higher,0
18,Bachelor or Higher,0
19,Bachelor or Higher,0
20,Bachelor or Higher,0
21,Some College or Associate,1
22,Bachelor or Higher,0
23,Bachelor or Higher,0
24,Bachelor or Higher,0
25,Bachelor or Higher,0
26,Some College or Associate,1
27,Bachelor or Higher,0
28,Some College or Associate,1
29,Some College or Associate,1
30,Bachelor or Higher,0
31,Bachelor or Higher,0
32,High School,2
33,Some College or Associate,1
34,Bachelor or Higher,0
35,Bachelor or Higher,0
36,Some College or Associate,1
37,High School,2
38,Bachelor or Higher,0
39,Some College or Associate,1
40,Bachelor or Higher,0
41,Bachelor or Higher,0
42,Bachelor or Higher,0
43,Bachelor or Higher,0
44,Some College or Associate,1
45,Bachelor or Higher,0
46,Bachelor or Higher,0
47,Some College or Associate,1
48,Bachelor or Higher,0
49,Other,4
50,Some College or Associate,1
51,Bachelor or Higher,0
52,Bachelor or Higher,0
53,Some College or Associate,1
54,Bachelor or Higher,0
55,Bachelor or Higher,0
56,Some College or Associate,1
57,Bachelor or Higher,0
58,Bachelor or Higher,0
59,Less Than High School,3
60,Bachelor or Higher,0
61,Bachelor or Higher,0
62,Bachelor or Higher,0
63,Bachelor or Higher,0
64,Bachelor or Higher,0
65,Bachelor or Higher,0
66,Bachelor or Higher,0
67,Bachelor or Higher,0
68,Bachelor or Higher,0
69,Some College or Associate,1
70,Bachelor or Higher,0
71,Bachelor or Higher,0
72,Some College or Associate,1
73,Other,4
74,Bachelor or Higher,0
75,Bachelor or Higher,0
76,Bachelor or Higher,0
77,Bachelor or Higher,0
78,Some College or Associate,1
79,Bachelor or Higher,0
80,Bachelor or Higher,0
81,Some College or Associate,1
82,Bachelor or Higher,0
83,Bachelor or Higher,0
84,Other,4
85,Bachelor or Higher,0
86,Some College or Associate,1
87,Some College or Associate,1
88,Some College or Associate,1
89,Some College or Associate,1
90,Some College or Associate,1
91,Bachelor or Higher,0
92,Bachelor or Higher,0
93,Bachelor or Higher,0
94,Less Than High School,3
95,Bachelor or Higher,0
96,Bachelor or Higher,0
97,Bachelor or Higher,0
98,Some College or Associate,1
99,Some College or Associate,1
100,Bachelor or Higher,0
101,Some College or Associate,1
102,Some College or Associate,1
103,Bachelor or Higher,0
104,Bachelor or Higher,0
105,Bachelor or Higher,0
106,Some College or Associate,1
107,Bachelor or Higher,0
108,Bachelor or Higher,0
109,Bachelor or Higher,0
110,Some College or Associate,1
111,Bachelor or Higher,0
112,Less Than High School,3
113,Bachelor or Higher,0
114,Bachelor or Higher,0
115,Bachelor or Higher,0
116,Other,4
117,Bachelor or Higher,0
118,Bachelor or Higher,0
119,Bachelor or Higher,0
120,Bachelor or Higher,0
121,Some College or Associate,1
122,Some College or Associate,1
123,Some College or Associate,1
124,Bachelor or Higher,0
125,Bachelor or Higher,0
126,Some College or Associate,1
127,Bachelor or Higher,0
128,Bachelor or Higher,0
129,Bachelor or Higher,0
130,Bachelor or Higher,0
131,Bachelor or Higher,0
132,Bachelor or Higher,0
133,Bachelor or Higher,0
134,Bachelor or Higher,0
135,Bachelor or Higher,0
136,Some College or Associate,1
137,Bachelor or Higher,0
138,Bachelor or Higher,0
139,Bachelor or Higher,0
140,Bachelor or Higher,0
141,Some College or Associate,1
142,Other,4
143,Bachelor or Higher,0
144,Bachelor or Higher,0
145,Bachelor or Higher,0
146,Other,4
147,Bachelor or Higher,0
148,Bachelor or Higher,0
149,Bachelor or Higher,0
150,Some College or Associate,1
151,Bachelor or Higher,0
152,Bachelor or Higher,0
153,Some College or Associate,1
154,Bachelor or Higher,0
155,Bachelor or Higher,0
156,Bachelor or Higher,0
157,Some College or Associate,1
158,High School,2
159,Some College or Associate,1
160,Bachelor or Higher,0
161,Bachelor or Higher,0
162,Some College or Associate,1
163,Bachelor or Higher,0
164,Bachelor or Higher,0
165,Bachelor or Higher,0
166,Bachelor or Higher,0
167,Bachelor or Higher,0
168,Bachelor or Higher,0
169,Bachelor or Higher,0
170,Some College or Associate,1
171,Some College or Associate,1
172,Bachelor or Higher,0
173,Bachelor or Higher,0
174,Bachelor or Higher,0
175,Bachelor or Higher,0
176,Bachelor or Higher,0
177,Bachelor or Higher,0
178,Bachelor or Higher,0
179,Some College or Associate,1
180,Bachelor or Higher,0
181,Bachelor or Higher,0
182,Some College or Associate,1
183,Bachelor or Higher,0
184,Bachelor or Higher,0
185,Bachelor or Higher,0
186,Bachelor or Higher,0
187,Bachelor or Higher,0
188,Bachelor or Higher,0
189,Other,4
190,Bachelor or Higher,0
191,Bachelor or Higher,0
192,Bachelor or Higher,0
193,Bachelor or Higher,0
194,Bachelor or Higher,0
195,Bachelor or Higher,0
196,Less Than High School,3
197,Some College or Associate,1
198,Bachelor or Higher,0
199,Some College or Associate,1
200,Some College or Associate,1
201,Bachelor or Higher,0
