user_count,est_gender,est_age
682.0,female,3
1883.0,female,4
1901.0,male,3
2230.0,male,3
2313.0,male,5
2524.0,male,5
2650.0,male,5
2679.0,male,2
3707.0,female,7
3745.0,female,error
3838.0,female,error
4617.0,male,error
4940.0,female,3
5041.0,female,error
5067.0,male,error
5229.0,male,3
5608.0,male,5
5677.0,male,3
5730.0,female,3
5866.0,female,3
5967.0,male,error
6072.0,nan,4
6455.0,female,3
6742.0,male,3
6887.0,female,3
7050.0,female,4
7522.0,female,5
7937.0,female,error
8900.0,female,4
9084.0,male,3
9851.0,male,3
9975.0,male,2
10577.0,male,3
10643.0,female,error
10856.0,male,error
10891.0,male,3
11079.0,male,7
11183.0,female,4
11472.0,nan,4
11666.0,male,3
11726.0,male,3
11953.0,male,3
12019.0,male,4
12202.0,nan,4
12426.0,female,3
12647.0,male,4
12828.0,female,2
13698.0,female,2
13847.0,male,6
14144.0,male,2
14692.0,female,3
14694.0,male,error
14919.0,female,3
14975.0,female,4
15068.0,male,3
15736.0,male,4
16583.0,male,2
16727.0,female,4
16877.0,female,4
17108.0,male,2
17647.0,male,4
18058.0,male,4
18221.0,male,4
18415.0,male,6
18698.0,female,3
18804.0,male,3
19157.0,female,4
19383.0,male,6
19795.0,male,2
19910.0,male,3
20170.0,female,5
20206.0,unisex,3
20230.0,male,3
20624.0,male,3
21032.0,male,4
21144.0,male,3
21246.0,nan,5
21519.0,female,3
21648.0,female,1
21993.0,male,4
22108.0,male,1
22267.0,male,3
22368.0,male,4
22410.0,female,3
22790.0,male,2
22833.0,female,4
23090.0,male,3
23271.0,female,error
23386.0,female,5
23680.0,female,4
23894.0,female,3
24579.0,female,5
24861.0,male,3
25065.0,male,3
25279.0,male,4
25337.0,female,5
25664.0,male,7
26009.0,female,2
26658.0,male,3
26736.0,male,3
26923.0,male,3
26930.0,male,3
27336.0,female,error
27380.0,female,3
27896.0,female,2
28110.0,male,3
28130.0,female,3
28260.0,female,3
28374.0,male,3
28746.0,male,3
29226.0,female,3
29294.0,male,4
29653.0,male,3
29736.0,female,3
30271.0,female,4
30420.0,female,3
30514.0,female,4
30699.0,female,4
31058.0,female,3
31101.0,male,5
31487.0,female,3
31563.0,female,5
31612.0,female,3
31615.0,male,4
31757.0,female,3
32086.0,male,3
32270.0,female,5
32352.0,male,4
32521.0,female,4
32522.0,female,3
32547.0,female,4
32668.0,female,2
32689.0,male,2
33223.0,female,3
33366.0,unisex,6
33426.0,male,4
33749.0,nan,2
34028.0,male,2
34269.0,male,error
34796.0,male,2
34856.0,female,3
34909.0,male,error
34936.0,female,3
35004.0,male,3
35307.0,female,3
35370.0,female,3
36222.0,male,4
36325.0,male,error
36509.0,female,4
36875.0,male,2
36989.0,female,4
37449.0,male,4
37778.0,male,3
38477.0,female,3
38989.0,nan,0
39181.0,female,1
39367.0,male,3
40186.0,female,3
40415.0,female,4
40912.0,male,3
41153.0,male,2
41347.0,male,4
41805.0,male,4
42599.0,male,4
43403.0,female,4
43490.0,male,3
43837.0,male,4
44301.0,male,7
44461.0,female,error
44798.0,male,6
44946.0,male,4
45186.0,female,7
45378.0,male,3
45468.0,female,3
45635.0,female,error
46261.0,female,3
47303.0,female,3
47344.0,male,6
47568.0,nan,3
47792.0,nan,error
48253.0,male,2
48698.0,male,5
49282.0,female,7
49638.0,female,3
49724.0,female,2
50348.0,female,error
50443.0,female,3
51114.0,female,4
51281.0,female,4
51523.0,male,3
51950.0,female,2
52607.0,female,2
52721.0,male,4
53059.0,female,4
53122.0,male,4
53774.0,male,3
53831.0,female,2
54007.0,male,4
54194.0,female,3
54678.0,female,3
