user_count,skilltest_tenure,hr_tenure,fp_tenure,longest_tenure_type,longest_tenure_days,all_rates,mean_rate,median_rate
1,"[53, 1, 0]","[0, 0, 0, [25.0, 22.22], 23.61, 23.61]","[32, 1, 0, 'None', 'None', 'None']",skilltest,53,"[25.0, 22.22]",23.61,23.61
2,None,"[157, 5, 0, [100.0, 55.0, 85.0, 55.0, 50.0, 50.0, 50.0, 55.0, 55.0, 40.0, 55.0, 52.0, 75.0], 59.77, 55.0]","[607, 20, 1, 'None', 'None', 'None']",fp,607,"[100.0, 55.0, 85.0, 55.0, 50.0, 50.0, 50.0, 55.0, 55.0, 40.0, 55.0, 52.0, 75.0]",59.77,55.0
3,"[135, 4, 0]","[244, 8, 0, [45.0, 40.0, 45.0, 35.0, 30.0, 40.0], 39.17, 40.0]","[111, 3, 0, 'None', 'None', 'None']",hr,244,"[45.0, 40.0, 45.0, 35.0, 30.0, 40.0]",39.17,40.0
4,"[374, 12, 1]","[251, 8, 0, [75.0, 45.0, 75.0, 45.0, 38.0, 45.0, 28.0, 28.0, 28.0, 28.0], 43.5, 41.5]","[376, 12, 1, 'None', 'None', 'None']",fp,376,"[75.0, 45.0, 75.0, 45.0, 38.0, 45.0, 28.0, 28.0, 28.0, 28.0]",43.5,41.5
5,"[47, 1, 0]","[0, 0, 0, [50.0], 50.0, 50.0]","[47, 1, 0, 'None', 'None', 'None']",fp,47,[50.0],50.0,50.0
6,"[326, 10, 0]","[289, 9, 0, [150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 120.0, 100.0, 150.0], 142.73, 150.0]","[266, 8, 0, 'None', 'None', 'None']",skilltest,326,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 120.0, 100.0, 150.0]",142.73,150.0
7,None,"[0, 0, 0, [100.0, 87.5], 93.75, 93.75]",None,hr,0,"[100.0, 87.5]",93.75,93.75
8,"[414, 13, 1]","[419, 13, 1, [120.0, 85.0, 90.0, 81.25, 100.0, 90.0, 85.0, 90.0, 75.0, 90.0, 90.0, 85.0, 90.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 75.0, 85.0, 85.0, 85.0, 75.0, 85.0, 100.0, 85.0, 85.0, 85.0, 40.0, 75.0, 75.0, 90.0, 90.0, 85.0, 85.0, 75.0, 75.0, 75.0, 75.0, 75.0, 40.0, 87.5, 75.0, 87.5, 87.5, 75.0, 62.5, 90.0, 62.5, 40.0, 40.0, 75.0, 62.5, 62.5, 62.5, 87.5, 62.5, 50.0, 50.0, 65.0, 35.0, 40.0, 50.0, 65.0, 65.0, 40.0, 50.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 35.0, 40.0, 40.0, 40.0, 25.0, 40.0, 40.0, 40.0, 40.0, 30.0, 40.0, 30.0, 40.0, 30.0, 40.0, 40.0, 40.0, 35.0, 30.0, 35.0, 35.0, 31.25], 64.22, 75.0]","[432, 14, 1, 'None', 'None', 'None']",fp,432,"[120.0, 85.0, 90.0, 81.25, 100.0, 90.0, 85.0, 90.0, 75.0, 90.0, 90.0, 85.0, 90.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 75.0, 85.0, 85.0, 85.0, 75.0, 85.0, 100.0, 85.0, 85.0, 85.0, 40.0, 75.0, 75.0, 90.0, 90.0, 85.0, 85.0, 75.0, 75.0, 75.0, 75.0, 75.0, 40.0, 87.5, 75.0, 87.5, 87.5, 75.0, 62.5, 90.0, 62.5, 40.0, 40.0, 75.0, 62.5, 62.5, 62.5, 87.5, 62.5, 50.0, 50.0, 65.0, 35.0, 40.0, 50.0, 65.0, 65.0, 40.0, 50.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 35.0, 40.0, 40.0, 40.0, 25.0, 40.0, 40.0, 40.0, 40.0, 30.0, 40.0, 30.0, 40.0, 30.0, 40.0, 40.0, 40.0, 35.0, 30.0, 35.0, 35.0, 31.25]",64.22,75.0
9,None,"[317, 10, 0, [25.0], 25.0, 25.0]","[640, 21, 1, 'None', 'None', 'None']",fp,640,[25.0],25.0,25.0
10,"[326, 10, 0]","[454, 15, 1, [50.0, 30.0, 50.0, 50.0, 20.0, 30.0], 38.33, 40.0]","[618, 20, 1, 'None', 'None', 'None']",fp,618,"[50.0, 30.0, 50.0, 50.0, 20.0, 30.0]",38.33,40.0
