Id,JobTitle,SIC,JobTask,SOC2010_1,Score_1,SOC2010_2,Score_2,SOC2010_3,Score_3,SOC2010_4,Score_4,SOC2010_5,Score_5,SOC2010_6,Score_6,SOC2010_7,Score_7,SOC2010_8,Score_8,SOC2010_9,Score_9,SOC2010_10,Score_10
1,accounting and consulting,,accounting financial planning human resources management consulting,13-2011,0.08359853637867608,43-3031,0.03787596768187613,11-3031,0.016970860189325632,43-3021,0.016678931945944376,13-2031,0.014649727865752448,25-9021,0.011454639875455586,17-2112,0.011270774527262035,17-2072,0.01105561726526029,17-2111,0.01087044154085501,25-1011,0.010374874482573949
2,administrative support,,data entry personal virtual assistant project management transcription web research,43-6014,0.18698724451094229,43-6011,0.09430101141877752,43-6013,0.06558656919108606,43-9061,0.05625223192842971,43-4071,0.049695089029889165,15-1199,0.04108953595178673,29-2071,0.0391083787143504,15-1133,0.03211028476667998,15-1142,0.028960887004879893,15-1132,0.024493395195579568
3,customer service,,customer service technical support,43-4051,0.2069655501900519,43-9041,0.12561073473904877,43-1011,0.05999946510323005,49-2011,0.05424602524289315,15-1151,0.043144541197418174,41-2021,0.03842902104062061,41-1011,0.03698275389343559,41-1012,0.03643115358630974,43-4141,0.035502283337560205,41-9031,0.03363744469070254
4,data science and analytics,,AB Testing Data Visualization Data Extraction ETL Data Mining and Management Machine Learning Quantitative Analysis,43-9111,0.10917601188936259,19-4099,0.10635988862256467,15-2041,0.05094152511996767,15-1199,0.02426137802953211,19-4092,0.021126759972628875,19-4091,0.01994554337224839,17-1021,0.018346027371594718,17-3029,0.016121197732487862,17-3026,0.01608810434039372,25-1042,0.015989485816672838
5,design and creative,,Animation Audio Production Graphic Design Illustration Logo Design and Branding Photography Presentations Video Production Voice Talent,27-1011,0.7522305231176624,27-1024,0.4182162975416638,27-1019,0.2230202414343804,27-1012,0.22221488389446273,27-1029,0.14576286508969208,27-1014,0.12490427984559173,27-1021,0.09247246089942368,17-2199,0.08479722183227831,43-9031,0.07992600933278594,27-1025,0.05835733272155158
6,engineering and architecture,,3D Modeling and CAD Architecture Chemical Engineering Civil and Structural Engineering Contract Manufacturing Electrical Engineering Interior Design Mechanical Engineering Product Design,17-3011,0.7425060960172145,17-2199,0.6113679758687506,11-9041,0.5043720922368241,17-3013,0.356690886559936,17-3029,0.3554640575381703,17-3022,0.35329783192915065,17-3019,0.34204980366757737,17-3023,0.32860700857772185,17-3012,0.2928013948887465,17-2072,0.27253447460176544
7,information technology and networking,,Database Administration ERP CRM Software Information Security Network and System Administration,11-3021,0.9373908969138659,15-1142,0.11837136353588655,15-1143,0.11197173562833548,15-1141,0.09750344187192848,15-1152,0.06380414867331083,15-1151,0.06287768820441685,15-1122,0.055705088030740965,15-1121,0.05556130656610296,15-1133,0.03138616382357708,15-1199,0.031242147736324347
8,legal,,Contract Law Corporate Law Criminal Law Family Law Intellectual Property Law Paralegal Services,23-2011,0.35567486983877833,23-1011,0.09794752978886025,23-2099,0.045264249092732176,23-1012,0.04343084784763376,43-6012,0.030284556152466082,23-1023,0.02823482814027615,33-3052,0.025552189674317407,33-3051,0.025552189674317407,23-2093,0.02482804152622535,25-1065,0.024692728368960533
9,sales and marketing,,Display Advertising Email and Marketing Automation Lead Generation Market and Customer Research Marketing Strategy Public Relations SEM Search Engine Marketing SEO Search Engine Optimization SMM Social Media Marketing Telemarketing and Telesales,11-2022,0.9871655665086737,11-2021,0.9805493029741892,41-4011,0.4629341269149924,11-2011,0.392617818381928,41-9022,0.11763579835359267,41-3031,0.10916875600094632,13-2021,0.10808423750686513,27-1026,0.10360684993603035,41-1012,0.10237709412223348,27-1023,0.0889911047916074
10,translation,,General Translation Legal Translation Medical Translation Technical Translation,27-3091,0.2209104548919048,11-1011,0.20170205546790562,27-3099,0.02250588428738139,31-1015,0.00867204084671584,43-4061,0.008660411632889211,21-1022,0.008553466090764532,25-2054,0.008468853179069808,21-1012,0.007958511514942923,21-1015,0.007958511514942923,11-9032,0.007958511514942923
11,web mobile and software development,,Desktop Software Development Ecommerce Development Game Development Product Management Mobile Development Quality assurance and Testing Scripts and Utilities Web Development Web and Mobile Design ,15-1131,0.94254633267553,15-1199,0.7162231515213131,11-3021,0.394602460112347,15-1134,0.2912311874864199,15-1132,0.2626307966672847,15-1133,0.26050236191092124,17-3027,0.04822170608523717,17-3029,0.048221637258371794,17-3023,0.04821618328302344,17-2199,0.04316860373468063
12,writing,,Academic Writing and Research Article and Blog Writing Copywriting Creative Writing Editing and Proofreading Grant Writing Resumes and Cover Letters Technical Writing Web Content,27-3042,0.4603929024044057,19-3011,0.08275503182776284,27-3041,0.07011541028117818,15-1133,0.0480718633253374,15-1131,0.0480718633253374,15-1134,0.0480718633253374,15-1132,0.0480718633253374,19-3092,0.04079669591914268,19-3091,0.04079669591914268,19-3094,0.04079669591914268
